symbol,datetime,open,close,high,low,volume,new york time,per_of_change,typical_mult_volume,Cumulative_TPV,Cumulative_Vol,vwap,buy_condition,order_type,instruction,order_time,fill_time,order_id,quantity,asset_type,order_status,Ticker,price,Manual_order_type,Manual_instruction,Manual_order_time,Manual_fill_time,Manual_order_id,Manual_quantity,Manual_asset_type,Manual_order_status,Manual_Ticker,Manual_price,quoteTime,option_id,right,strike,expiration,description,bid,ask,last,total_volume,daysToExpiration,quoteTime_put
TQQQ,2024-08-20 10:30:00,71.52,71.55,71.55,71.5,18.04,2024-08-20 06:30:00,0.07,1290.4613333333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:35:00,71.54,71.57,71.59,71.54,827.24,2024-08-20 06:35:00,0.028,59202.809333333345,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:40:00,71.57,71.62,71.63,71.56,508.28,2024-08-20 06:40:00,0.07,36394.54226666667,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:45:00,71.62,71.67,71.67,71.61,14.67,2024-08-20 06:45:00,0.07,1051.1055,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:50:00,71.64,71.57,71.64,71.56,18.08,2024-08-20 06:50:00,-0.14,1294.3471999999997,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:55:00,71.58,71.56,71.58,71.51,35.08,2024-08-20 06:55:00,-0.014,2509.9739999999997,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:00:00,71.55,71.62,71.65,71.52,249.29,2024-08-20 07:00:00,0.084,17848.333033333332,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:05:00,71.63,71.62,71.66,71.61,174.1,2024-08-20 07:05:00,0.0,12470.783000000001,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:10:00,71.61,71.59,71.64,71.54,264.62,2024-08-20 07:10:00,-0.042,18944.1458,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:15:00,71.58,71.55,71.58,71.51,187.51,2024-08-20 07:15:00,-0.056,13415.715466666667,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:20:00,71.56,71.5,71.56,71.5,116.9,2024-08-20 07:20:00,-0.07,8360.688,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:25:00,71.49,71.47,71.51,71.47,180.58,2024-08-20 07:25:00,-0.042,12908.460333333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:30:00,71.47,71.41,71.5,71.41,237.86,2024-08-20 07:30:00,-0.084,16992.7184,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:35:00,71.41,71.54,71.56,71.39,160.81,2024-08-20 07:35:00,0.182,11497.378966666667,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:40:00,71.54,71.55,71.58,71.52,352.09,2024-08-20 07:40:00,0.014,25192.0395,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:45:00,71.53,71.55,71.58,71.51,204.38,2024-08-20 07:45:00,0.0,14622.707733333333,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:50:00,71.55,71.5,71.55,71.48,189.05,2024-08-20 07:50:00,-0.07,13518.965500000002,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 11:55:00,71.5,71.52,71.52,71.48,71.71,2024-08-20 07:55:00,0.028,5127.743066666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:00:00,71.53,71.47,72.04,71.28,2716.28,2024-08-20 08:00:00,-0.07,194476.59373333337,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:05:00,71.46,71.55,71.55,71.44,314.19,2024-08-20 08:05:00,0.112,22468.7742,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:10:00,71.55,71.52,71.55,71.51,179.27,2024-08-20 08:10:00,-0.042,12822.585533333333,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:15:00,71.51,71.49,71.56,71.49,552.21,2024-08-20 08:15:00,-0.042,39490.3778,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:20:00,71.49,71.4,71.51,71.36,333.71,2024-08-20 08:20:00,-0.126,23834.680566666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:25:00,71.41,71.48,71.48,71.39,132.42,2024-08-20 08:25:00,0.112,9461.409,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:30:00,71.46,71.34,71.47,71.33,641.5,2024-08-20 08:30:00,-0.196,45790.270000000004,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:35:00,71.33,71.31,71.36,71.29,777.13,2024-08-20 08:35:00,-0.042,55424.91160000001,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:40:00,71.31,71.29,71.39,71.28,182.1,2024-08-20 08:40:00,-0.028,12987.371999999998,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:45:00,71.3,71.29,71.35,71.27,573.77,2024-08-20 08:45:00,0.0,40911.713566666665,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:50:00,71.3,71.24,71.31,71.22,829.32,2024-08-20 08:50:00,-0.07,59094.578799999996,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 12:55:00,71.23,71.24,71.28,71.17,514.01,2024-08-20 08:55:00,0.0,36612.9323,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 13:00:00,71.24,71.09,71.26,71.09,827.44,2024-08-20 09:00:00,-0.211,58869.59786666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 13:05:00,71.09,70.96,71.11,70.93,901.01,2024-08-20 09:05:00,-0.183,63971.71,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 13:10:00,70.95,70.96,70.98,70.88,624.02,2024-08-20 09:10:00,0.0,44267.9788,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 13:15:00,70.97,70.89,71.0,70.88,607.85,2024-08-20 09:15:00,-0.099,43110.748166666664,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
